RANKING,DISTRICT,STATE,POPULATION,GROWTH,SEX-RATIO,LITERACY,STATE_POPULATION,POPULATION_RATIO,CUSTOMERS_LAKH,EST_CUSTOMERS_LAKH,EST_CUSTOMERS
614,North and Middle Andaman,andaman and nicobar islands,105597.0,-0.02 %,925,83.91,380581.0,0.2774626163681319,1.29192,0.35845950333831694,35845.95033383169
615,East Siang,arunachal pradesh,99214.0,13.52 %,980,72.54,1383727.0,0.07170055943115947,3.33244,0.23893781227077307,23893.781227077307
616,Peren,nagaland,95219.0,104.15 %,915,77.95,1978502.0,0.04812681513589574,3.8637,0.1859475756405604,18594.75756405604
617,Kurung Kumey,arunachal pradesh,92076.0,116.56 %,1032,48.75,1383727.0,0.06654202743749309,3.33244,0.22174731391379945,22174.731391379944
618,Mamit,mizoram,86364.0,37.56 %,927,84.93,1097206.0,0.07871265742258063,3.6581,0.2879387721175422,28793.87721175422
619,Kinnaur,himachal pradesh,84121.0,7.39 %,819,80.0,6864602.0,0.01225431569084413,22.43595,0.27493721412399436,27493.721412399434
620,Kolasib,mizoram,83955.0,27.28 %,956,93.5,1097206.0,0.07651708065759757,3.6581,0.2799071327535577,27990.71327535577
621,West Kameng,arunachal pradesh,83947.0,12.53 %,819,67.07,1383727.0,0.060667313711447415,3.33244,0.20217018290457583,20217.018290457585
622,Upper Subansiri,arunachal pradesh,83448.0,50.78 %,998,63.8,1383727.0,0.060306693444588416,3.33244,0.20096843750248422,20096.843750248423
623,Lower Subansiri,arunachal pradesh,83030.0,49.00 %,984,74.35,1383727.0,0.060004610736077275,3.33244,0.19996176500133336,19996.176500133337
624,East Kameng,arunachal pradesh,78690.0,37.62 %,1029,60.02,1383727.0,0.05686815390608119,3.33244,0.1895097108027812,18950.97108027812
625,Kiphire,nagaland,74004.0,38.58 %,956,69.54,1978502.0,0.03740405620009482,3.8637,0.14451805194030637,14451.805194030638
626,Serchhip,mizoram,64937.0,20.56 %,977,97.91,1097206.0,0.059183963631259766,3.6581,0.21650085735951136,21650.085735951136
627,Lakshadweep,lakshadweep,64473.0,6.30 %,946,91.85,64473.0,1.0,0.14023,0.14023,14023.0
628,Saiha,mizoram,56574.0,-7.34 %,979,90.01,1097206.0,0.05156187625660086,3.6581,0.1886184995342716,18861.849953427158
629,Yanam,puducherry,55626.0,77.19 %,1038,79.47,1247953.0,0.044573794045128304,4.1183,0.18356825601605187,18356.825601605186
630,Lower Dibang Valley,arunachal pradesh,54080.0,7.20 %,928,69.13,1383727.0,0.039082853771011186,3.33244,0.1302412652206685,13024.12652206685
631,Diu,dadra & nagar haveli and daman & diu,52074.0,17.77 %,1031,83.46,586956.0,0.0887187455277738,1.71994,0.15259091918303927,15259.091918303928
632,Longleng,nagaland,50484.0,-21.57 %,905,72.17,1978502.0,0.02551627443388988,3.8637,0.09858722953022034,9858.722953022034
633,Tawang,arunachal pradesh,49977.0,28.40 %,714,59.0,1383727.0,0.03611767350062548,3.33244,0.12035997988042438,12035.997988042438
634,North Sikkim,sikkim,43709.0,6.53 %,767,78.01,610577.0,0.07158638468203028,1.89068,0.135346945790621,13534.694579062101
635,Mahe,puducherry,41816.0,13.54 %,1184,97.87,1247953.0,0.03350767216393566,4.1183,0.13799464627273622,13799.464627273623
636,Nicobars,andaman and nicobar islands,36842.0,-12.42 %,777,78.06,380581.0,0.09680462240626832,1.29192,0.12506382777910616,12506.382777910616
637,Upper Siang,arunachal pradesh,35320.0,5.87 %,889,59.99,1383727.0,0.025525266183286155,3.33244,0.08506141803983011,8506.141803983011
638,Lahul and Spiti,himachal pradesh,31564.0,-5.00 %,903,76.81,6864602.0,0.0045980815785095774,22.43595,0.10316232839136194,10316.232839136193
639,Anjaw,arunachal pradesh,21167.0,14.19 %,839,56.46,1383727.0,0.015297092562333466,3.33244,0.05097664313842254,5097.664313842254
640,Dibang Valley,arunachal pradesh,8004.0,10.07 %,813,64.1,1383727.0,0.005784377987854541,3.33244,0.019276092581845986,1927.6092581845987
