state,district,daily_cylinders,annual_cylinders,district_share
odisha,Sambalpur,3000.5112533746965,1095186.6074817642,0.024803297109668606
rajasthan,Sirohi,4475.47158364482,1633547.1280303595,0.015118448287887295
chhattisgarh,Mahasamund,2574.805784377927,939804.1112979434,0.0404284985381597
jharkhand,Gumla,2838.013909027547,1035875.0767950546,0.03743102165750729
madhya pradesh,Jhabua,3104.446950507639,1133123.1369352883,0.014113906615393225
karnataka,Chamarajanagar,7094.509399155966,2589495.9306919277,0.018420779573254192
madhya pradesh,Panna,3078.619161375882,1123695.9939021969,0.013996484411149058
assam,Goalpara,3490.1014214476686,1273887.018828399,0.035522155600517066
jammu and kashmir,Baramula,3371.89284554915,1230740.8886254397,0.08037753974826539
bihar,Lakhisarai,3287.3295704488132,1199875.2932138168,0.011152053354866007
himachal pradesh,Mandi,5505.840740817296,2009631.870398313,0.14564238392844917
punjab,Moga,6950.9892888583945,2537111.090433314,0.03589135525076326
punjab,Mohali,6943.184882890465,2534262.4822550197,0.03585105728805957
uttar pradesh,Chitrakoot,3723.427616785718,1359051.080126787,0.0051088212461190465
karnataka,Bangalore Rural,6886.9264495276975,2513728.1540776095,0.01788179378253508
odisha,Rayagada,2789.578942795214,1018196.3141202532,0.023059655334138677
haryana,Kurukshetra,7204.893996143507,2629786.30859238,0.03805125716221021
odisha,Nayagarh,2774.817024245889,1012808.2138497495,0.022937628045863776
haryana,Jhajjar,7158.213486037929,2612747.922403844,0.037804723056997655
assam,Morigaon,3314.3817870631533,1209749.352278051,0.03373368602874067
assam,Karbi Anglong,3310.5392182261403,1208346.8146525412,0.033694576469546975
uttarakhand,Nainital,6148.1442054198515,2244072.634978246,0.09464379972342661
puducherry,Puducherry,6888.269180053092,2514218.2507193787,0.7614781966949077
assam,Baksa,3288.9446737168682,1200464.805906657,0.03347478779364584
jharkhand,Ramgarh,2628.2659699290202,959317.0790240924,0.034664622371710745
haryana,Fatehabad,7035.768640810591,2568055.5538958656,0.03715805423766092
assam,Darrang,3214.2569055559948,1173203.7705279381,0.03271461775796665
haryana,Mahendragarh,6886.966112357243,2513742.6310103936,0.036372182401156986
punjab,Muktsar,6295.851990029817,2297985.976360883,0.03250856115439316
jharkhand,Pakur,2492.5651157314637,909786.2672419843,0.03287484199175783
haryana,Rewari,6724.473123900127,2454432.6902235462,0.0355140070422763
delhi,North Delhi,9599.218073066802,3503714.596669383,0.06317424885522295
assam,Kokrajhar,3071.084867753104,1120945.9767298829,0.031257416722711956
tripura,South Tripura,2644.3741354012514,965196.5594214568,0.2384378852325733
uttar pradesh,Mahoba,3288.7642890145335,1200398.9654903046,0.004512430642521601
jammu and kashmir,Kupwara,2911.3361940312666,1062637.7108214123,0.0693990145520776
rajasthan,Pratapgarh,3747.8111199570308,1367951.0587843163,0.012660361606786161
chhattisgarh,Jashpur,2123.334567162524,775017.1170143211,0.033339690692552076
maharashtra,Sindhudurg,5463.6979163480455,1994249.7394670367,0.008421753797114684
madhya pradesh,Ashoknagar,2559.370964981582,934170.4022182773,0.01163579966731018
assam,Udalguri,2879.0464320193255,1050851.9476870538,0.029302854842792256
madhya pradesh,Neemuch,2501.815699425776,913162.7302904082,0.011374133207477143
meghalaya,East Khasi Hills,1675.221062870906,611455.6879478807,0.2783798113107703
chhattisgarh,Kabirdham,2050.676833593711,748497.0442617044,0.03219885005393186
goa,North Goa,8080.497769549565,2949381.6858855914,0.5608383697451913
kerala,Wayanad,5839.874148383069,2131554.0641598203,0.026716453360257006
punjab,Kapurthala,5690.431130649906,2077007.3626872157,0.029382477335640002
himachal pradesh,Shimla,4482.809087859279,1636225.317068637,0.11858080046009951
gujarat,Tapi,3988.7743536140547,1455902.63906913,0.014722314525557157
chhattisgarh,Dhamtari,1993.9702436742557,727799.1389411034,0.031308467446601894
jharkhand,Jamtara,2189.777342488798,799268.7300084112,0.028881325377260993
madhya pradesh,Datia,2382.7528624022357,869704.794776816,0.010832831716453356
assam,Nalbari,2671.239616958883,975002.4601899922,0.027187802834829973
punjab,Mansa,5373.389354401662,1961287.1143566067,0.02774543567900877
madhya pradesh,Burhanpur,2295.205500719344,837750.0077625606,0.010434810649604612
tamil nadu,Ariyalur,4968.819610120354,1813619.157693929,0.010873558907098537
jammu and kashmir,Badgam,2521.278812494798,920266.7665606013,0.060101016624908646
madhya pradesh,Anuppur,2269.1293674613203,828232.2191233819,0.010316259385704251
chhattisgarh,Kanker,1867.2187364636586,681534.8388092354,0.029318269523688958
assam,Bongaigaon,2557.572276631547,933513.8809705146,0.026030899793276028
tamil nadu,The Nilgiris,4840.467838351936,1766770.7609984567,0.010592679209169526
odisha,Kandhamal,2112.868041330866,771196.8350857662,0.017465721457872067
madhya pradesh,Alirajpur,2207.8368256638896,805860.4413673197,0.010037601954947522
jharkhand,Latehar,2012.434172759249,734538.4730571258,0.026542317803745497
jharkhand,Kodarma,1982.7616353539813,723707.9969042032,0.026150961938040687
madhya pradesh,Dindori,2133.7121611470325,778804.9388186669,0.009700605185614034
bihar,Arwal,2301.802674103276,840157.9760476956,0.0078087169794990524
tripura,North Tripura,2094.8098211523643,764605.584720613,0.1888847788341435
madhya pradesh,Sheopur,2083.246817537457,760385.0884011717,0.009471172002063316
uttarakhand,Pauri Garhwal,4426.376581102243,1615627.4521023186,0.06813911395783505
assam,Dhemaji,2375.23719265466,866961.5753189508,0.02417509835877968
punjab,Rupnagar,4779.165513959641,1744395.4125952693,0.02467716754198792
rajasthan,Jaisalmer,2893.0525595156005,1055964.1842231941,0.009772928885307772
assam,Hailakandi,2282.3335711421064,833051.7534668688,0.023229527872220122
chhattisgarh,Korea,1642.775823695624,599613.1756489028,0.025794162957750413
bihar,Sheohar,2155.3312192168264,786695.8950141417,0.007311822024231298
madhya pradesh,Umaria,1952.705636141336,712737.5571915876,0.008877685924491051
meghalaya,West Garo Hills,1304.7898382114633,476248.29094718414,0.21682341334643798
jammu and kashmir,Rajouri,2148.879698477397,784341.08994425,0.051223947880371594
goa,South Goa,6327.392641409341,2309498.3141144095,0.4391616302548088
bihar,Sheikhpura,2089.959830153439,762835.3380060052,0.007090053806870278
uttarakhand,Almora,4009.2568724646226,1463378.7584495873,0.06171802283733211
uttarakhand,Tehri Garhwal,3986.2320448821383,1454974.6963819806,0.061363581383525274
punjab,Faridkot,4310.628909163954,1573379.5518448432,0.022257884036881215
jammu and kashmir,Kathua,2061.9765368662224,752621.4359561712,0.04915239263036646
odisha,Malkangiri,1767.257000995426,645048.8053633305,0.01460877722605815
punjab,Shahid Bhagat Singh Nagar,4274.343307892659,1560135.3073808206,0.022070523741591585
odisha,Nuapada,1759.1584084293174,642092.8190767008,0.01454183136896082
odisha,Subarnapur,1758.5848782084436,641883.4805460819,0.014537090363422614
punjab,Fatehgarh Sahib,4189.548925699046,1529185.3578801516,0.021632688899944196
jharkhand,Simdega,1659.7630965925302,605813.5302562736,0.021890882288231713
punjab,Barnala,4157.186469467087,1517373.0613554867,0.021465585720074492
gujarat,Narmada,2917.59274792424,1064921.3529923477,0.01076865078956065
gujarat,Porbandar,2893.631098717253,1056175.3510317972,0.010680209853848982
delhi,Central Delhi,6294.994547509352,2297673.0098409136,0.041428536059872456
himachal pradesh,Solan,3195.862175976336,1166489.6942313625,0.08453804022432765
odisha,Jharsuguda,1670.1689982287025,609611.6843534764,0.013806213137788537
odisha,Gajapati,1665.3040785662145,607835.9886766683,0.013765997975233275
